"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000328484 (pp) 9606.ENSP00000480960","false","pp","9606.ENSP00000328484 (pp) 9606.ENSP00000480960","0.437","0.0","0.0","0.915","0.028",,"0.0","0.969","0.404"
"pp","9606.ENSP00000330074 (pp) 9606.ENSP00000477907","false","pp","9606.ENSP00000330074 (pp) 9606.ENSP00000477907","0.554","0.0","0.0","0.116","0.006",,"0.0","0.7","0.301"
"pp","9606.ENSP00000330074 (pp) 9606.ENSP00000484841","false","pp","9606.ENSP00000330074 (pp) 9606.ENSP00000484841","0.537","0.0","0.0","0.139","0.0",,"0.0","0.759","0.445"
"pp","9606.ENSP00000330074 (pp) 9606.ENSP00000480960","false","pp","9606.ENSP00000330074 (pp) 9606.ENSP00000480960","0.527","0.0","0.0","0.172","0.0",,"0.0","0.885","0.731"
"pp","9606.ENSP00000332215 (pp) 9606.ENSP00000382334","false","pp","9606.ENSP00000332215 (pp) 9606.ENSP00000382334","0.765","0.05","0.0","0.0","0.0",,"0.0","0.771","0.059"
"pp","9606.ENSP00000332215 (pp) 9606.ENSP00000384770","false","pp","9606.ENSP00000332215 (pp) 9606.ENSP00000384770","0.577","0.049","0.0","0.199","0.0",,"0.0","0.774","0.382"
"pp","9606.ENSP00000332886 (pp) 9606.ENSP00000351430","false","pp","9606.ENSP00000332886 (pp) 9606.ENSP00000351430","0.0","0.0","0.0","0.0","0.0",,"0.0","0.729","0.729"
"pp","9606.ENSP00000339191 (pp) 9606.ENSP00000355192","false","pp","9606.ENSP00000339191 (pp) 9606.ENSP00000355192","0.111","0.0","0.0","0.047","0.0",,"0.0","0.71","0.686"
"pp","9606.ENSP00000339191 (pp) 9606.ENSP00000369689","false","pp","9606.ENSP00000339191 (pp) 9606.ENSP00000369689","0.045","0.0","0.8","0.0","0.0",,"0.0","0.996","0.98"
"pp","9606.ENSP00000342007 (pp) 9606.ENSP00000387683","false","pp","9606.ENSP00000342007 (pp) 9606.ENSP00000387683","0.11","0.0","0.674","0.0","0.0",,"0.0","0.883","0.629"
"pp","9606.ENSP00000342007 (pp) 9606.ENSP00000343838","false","pp","9606.ENSP00000342007 (pp) 9606.ENSP00000343838","0.068","0.0","0.681","0.0","0.0",,"0.0","0.958","0.872"
"pp","9606.ENSP00000342007 (pp) 9606.ENSP00000362549","false","pp","9606.ENSP00000342007 (pp) 9606.ENSP00000362549","0.245","0.0","0.681","0.0","0.0",,"0.0","0.964","0.865"
"pp","9606.ENSP00000343838 (pp) 9606.ENSP00000362549","false","pp","9606.ENSP00000343838 (pp) 9606.ENSP00000362549","0.257","0.047","0.0","0.994","0.0",,"0.0","0.995","0.051"
"pp","9606.ENSP00000346158 (pp) 9606.ENSP00000369045","false","pp","9606.ENSP00000346158 (pp) 9606.ENSP00000369045","0.497","0.0","0.0","0.0","0.0",,"0.0","0.754","0.531"
"pp","9606.ENSP00000349022 (pp) 9606.ENSP00000428994","false","pp","9606.ENSP00000349022 (pp) 9606.ENSP00000428994","0.056","0.0","0.0","0.0","0.0",,"0.0","0.814","0.812"
"pp","9606.ENSP00000349270 (pp) 9606.ENSP00000497236","false","pp","9606.ENSP00000349270 (pp) 9606.ENSP00000497236","0.78","0.0","0.0","0.0","0.0",,"0.0","0.852","0.355"
"pp","9606.ENSP00000349270 (pp) 9606.ENSP00000494175","false","pp","9606.ENSP00000349270 (pp) 9606.ENSP00000494175","0.399","0.0","0.54","0.761","0.0",,"0.0","0.932","0.093"
"pp","9606.ENSP00000353379 (pp) 9606.ENSP00000445675","false","pp","9606.ENSP00000353379 (pp) 9606.ENSP00000445675","0.242","0.0","0.0","0.0","0.0",,"0.0","0.739","0.67"
"pp","9606.ENSP00000355192 (pp) 9606.ENSP00000369689","false","pp","9606.ENSP00000355192 (pp) 9606.ENSP00000369689","0.044","0.0","0.0","0.423","0.0",,"0.0","0.902","0.837"
"pp","9606.ENSP00000355421 (pp) 9606.ENSP00000473093","false","pp","9606.ENSP00000355421 (pp) 9606.ENSP00000473093","0.326","0.0","0.0","0.0","0.0",,"0.0","0.957","0.94"
"pp","9606.ENSP00000358301 (pp) 9606.ENSP00000387662","false","pp","9606.ENSP00000358301 (pp) 9606.ENSP00000387662","0.0","0.0","0.9","0.0","0.0",,"0.0","0.927","0.301"
"pp","9606.ENSP00000364992 (pp) 9606.ENSP00000372910","false","pp","9606.ENSP00000364992 (pp) 9606.ENSP00000372910","0.146","0.0","0.0","0.0","0.0",,"0.0","0.723","0.69"
"pp","9606.ENSP00000366962 (pp) 9606.ENSP00000484658","false","pp","9606.ENSP00000366962 (pp) 9606.ENSP00000484658","0.427","0.0","0.0","0.829","0.125",,"0.0","0.931","0.289"
"pp","9606.ENSP00000366962 (pp) 9606.ENSP00000484095","false","pp","9606.ENSP00000366962 (pp) 9606.ENSP00000484095","0.502","0.0","0.0","0.829","0.125",,"0.0","0.945","0.349"
"pp","9606.ENSP00000366962 (pp) 9606.ENSP00000482674","false","pp","9606.ENSP00000366962 (pp) 9606.ENSP00000482674","0.765","0.048","0.0","0.812","0.0",,"0.0","0.954","0.044"
"pp","9606.ENSP00000366962 (pp) 9606.ENSP00000477907","false","pp","9606.ENSP00000366962 (pp) 9606.ENSP00000477907","0.771","0.048","0.0","0.812","0.0",,"0.0","0.955","0.044"
"pp","9606.ENSP00000366962 (pp) 9606.ENSP00000484841","false","pp","9606.ENSP00000366962 (pp) 9606.ENSP00000484841","0.519","0.0","0.0","0.829","0.125",,"0.0","0.959","0.506"
"pp","9606.ENSP00000366962 (pp) 9606.ENSP00000480960","false","pp","9606.ENSP00000366962 (pp) 9606.ENSP00000480960","0.473","0.0","0.0","0.915","0.066",,"0.0","0.977","0.529"
"pp","9606.ENSP00000369375 (pp) 9606.ENSP00000371347","false","pp","9606.ENSP00000369375 (pp) 9606.ENSP00000371347","0.126","0.0","0.9","0.582","0.0",,"0.0","0.999","0.995"
"pp","9606.ENSP00000370421 (pp) 9606.ENSP00000387662","false","pp","9606.ENSP00000370421 (pp) 9606.ENSP00000387662","0.055","0.0","0.0","0.0","0.0",,"0.0","0.81","0.808"
"pp","9606.ENSP00000377447 (pp) 9606.ENSP00000480637","false","pp","9606.ENSP00000377447 (pp) 9606.ENSP00000480637","0.999","0.05","0.0","0.0","0.0",,"0.0","0.999","0.051"
"pp","9606.ENSP00000377447 (pp) 9606.ENSP00000473093","false","pp","9606.ENSP00000377447 (pp) 9606.ENSP00000473093","0.999","0.049","0.0","0.0","0.0",,"0.0","0.999","0.374"
"pp","9606.ENSP00000379138 (pp) 9606.ENSP00000421725","false","pp","9606.ENSP00000379138 (pp) 9606.ENSP00000421725","0.269","0.14","0.0","0.0","0.0",,"0.0","0.717","0.587"
"pp","9606.ENSP00000382334 (pp) 9606.ENSP00000384770","false","pp","9606.ENSP00000382334 (pp) 9606.ENSP00000384770","0.775","0.051","0.0","0.0","0.0",,"0.0","0.782","0.061"
"pp","9606.ENSP00000417898 (pp) 9606.ENSP00000463051","false","pp","9606.ENSP00000417898 (pp) 9606.ENSP00000463051","0.0","0.0","0.0","0.0","0.0",,"0.0","0.787","0.787"
"pp","9606.ENSP00000445675 (pp) 9606.ENSP00000473093","false","pp","9606.ENSP00000445675 (pp) 9606.ENSP00000473093","0.306","0.0","0.0","0.0","0.0",,"0.0","0.777","0.693"
"pp","9606.ENSP00000473093 (pp) 9606.ENSP00000480637","false","pp","9606.ENSP00000473093 (pp) 9606.ENSP00000480637","0.999","0.047","0.0","0.424","0.0",,"0.0","0.999","0.053"
"pp","9606.ENSP00000477907 (pp) 9606.ENSP00000484841","false","pp","9606.ENSP00000477907 (pp) 9606.ENSP00000484841","0.598","0.0","0.0","0.181","0.124",,"0.0","0.741","0.208"
"pp","9606.ENSP00000477907 (pp) 9606.ENSP00000484658","false","pp","9606.ENSP00000477907 (pp) 9606.ENSP00000484658","0.535","0.0","0.0","0.181","0.124",,"0.0","0.744","0.321"
"pp","9606.ENSP00000477907 (pp) 9606.ENSP00000480960","false","pp","9606.ENSP00000477907 (pp) 9606.ENSP00000480960","0.585","0.0","0.0","0.915","0.06",,"0.0","0.97","0.206"
"pp","9606.ENSP00000477907 (pp) 9606.ENSP00000482674","false","pp","9606.ENSP00000477907 (pp) 9606.ENSP00000482674","0.775","0.048","0.4","0.812","0.0",,"0.0","0.972","0.044"
"pp","9606.ENSP00000480960 (pp) 9606.ENSP00000482674","false","pp","9606.ENSP00000480960 (pp) 9606.ENSP00000482674","0.548","0.0","0.0","0.915","0.06",,"0.0","0.967","0.206"
"pp","9606.ENSP00000480960 (pp) 9606.ENSP00000484658","false","pp","9606.ENSP00000480960 (pp) 9606.ENSP00000484658","0.385","0.0","0.0","0.915","0.069",,"0.0","0.985","0.728"
"pp","9606.ENSP00000480960 (pp) 9606.ENSP00000484095","false","pp","9606.ENSP00000480960 (pp) 9606.ENSP00000484095","0.406","0.0","0.0","0.915","0.069",,"0.0","0.988","0.781"
"pp","9606.ENSP00000480960 (pp) 9606.ENSP00000484841","false","pp","9606.ENSP00000480960 (pp) 9606.ENSP00000484841","0.487","0.0","0.0","0.915","0.069",,"0.0","0.99","0.791"
"pp","9606.ENSP00000482674 (pp) 9606.ENSP00000484095","false","pp","9606.ENSP00000482674 (pp) 9606.ENSP00000484095","0.477","0.0","0.0","0.829","0.125",,"0.0","0.932","0.232"
"pp","9606.ENSP00000482674 (pp) 9606.ENSP00000484658","false","pp","9606.ENSP00000482674 (pp) 9606.ENSP00000484658","0.43","0.0","0.0","0.829","0.125",,"0.0","0.94","0.378"
