"gene_id","biomart_id","entrez_id","gene_name","log2FoldChange","pvalue","padj"
"ENSG00000226423.1","ENSG00000226423",NA,NA,1.32510152682445,0.00192473427268721,0.00380291707465276
"ENSG00000134333.14","ENSG00000134333","3939","LDHA",1.32505367601177,9.56262209855128e-38,2.9480159440713e-36
"ENSG00000140057.9","ENSG00000140057","122481","AK7",-1.32501732999884,3.44874250291289e-13,2.09808466038394e-12
"ENSG00000272735.1","ENSG00000272735",NA,NA,1.32496646827507,9.83605297640477e-10,4.35196982372064e-09
"ENSG00000188396.4","ENSG00000188396","343521","DYNLT4",-1.32481208410962,3.16113204027729e-13,1.92926685413083e-12
"ENSG00000237972.1","ENSG00000237972","442673","TUBG1P",1.32464175524823,5.65247080067763e-07,1.83870859821242e-06
"ENSG00000279971.1","ENSG00000279971",NA,NA,1.32461467378347,0.00107030344075513,0.00220748197660963
"ENSG00000082512.15","ENSG00000082512","7188","TRAF5",1.32455504522703,2.64959254195032e-31,5.714600551761e-30
"ENSG00000271787.1","ENSG00000271787",NA,NA,-1.32440350580896,0.000281055526654052,0.00063466437940941
"ENSG00000076555.15","ENSG00000076555","32","ACACB",-1.32358983591061,1.92099763797034e-30,3.94902743112095e-29
"ENSG00000275598.1","ENSG00000275598","100533643","LOC100533643",1.32319140246125,0.0301026098009048,0.0477378227002094
"ENSG00000259326.1","ENSG00000259326",NA,NA,1.32301925413807,4.92368904711579e-06,1.42713785799751e-05
"ENSG00000112319.19","ENSG00000112319","2070","EYA4",-1.3227961319326,1.0465413877271e-07,3.71806965809848e-07
"ENSG00000278318.5","ENSG00000278318","7772","ZNF229",1.32261326514224,1.07661525814057e-10,5.23772417789839e-10
"ENSG00000257135.7","ENSG00000257135",NA,NA,1.32256341702765,3.2986899216169e-15,2.35110037646486e-14
"ENSG00000163283.7","ENSG00000163283","250","ALPP",-1.32255263384413,2.76732087891147e-05,7.26856661699002e-05
"ENSG00000216588.9","ENSG00000216588","147710","IGSF23",1.32237229785758,6.34301422674313e-05,0.000158409251459065
"ENSG00000240498.9","ENSG00000240498","100048912","CDKN2B-AS1",1.32233859896304,4.27983350037166e-09,1.7665789972507e-08
"ENSG00000268282.1","ENSG00000268282",NA,NA,1.32200466135766,4.52457039035118e-05,0.000115366683205066
"ENSG00000140795.13","ENSG00000140795","91807","MYLK3",-1.32195308541332,2.95069080193296e-10,1.37516046733238e-09
"ENSG00000104237.11","ENSG00000104237","6101","RP1",-1.32177139782206,1.61099830475478e-07,5.59519314632948e-07
"ENSG00000207021.1","ENSG00000207021",NA,NA,1.3217638177215,5.22526413478343e-05,0.00013197484733077
"ENSG00000222460.1","ENSG00000222460",NA,NA,1.32174642868656,2.82453709030558e-05,7.41263565533712e-05
"ENSG00000223458.2","ENSG00000223458",NA,NA,-1.32170999655601,1.36337412214188e-08,5.34302835128125e-08
"ENSG00000204217.15","ENSG00000204217","659","BMPR2",-1.32157418619988,1.93680985736489e-59,1.68583158001469e-57
"ENSG00000116544.12","ENSG00000116544","58512","DLGAP3",1.32135656416601,2.53876244844595e-08,9.66275983436364e-08
"ENSG00000234159.1","ENSG00000234159",NA,NA,1.3212678918307,0.00620393439459102,0.0112027824959378
"ENSG00000230427.1","ENSG00000230427",NA,NA,1.32120776530031,0.00113956081953922,0.00233954481431889
"ENSG00000248801.7","ENSG00000248801","286189","C8orf34-AS1",-1.32110180346198,2.9285196586282e-08,1.1065566658429e-07
"ENSG00000113569.16","ENSG00000113569","9631","NUP155",1.32084407966706,2.72189602651055e-38,8.62766306264389e-37
"ENSG00000105519.18","ENSG00000105519","828","CAPS",-1.32074730881026,1.6800332519202e-10,8.01711940916863e-10
"ENSG00000287628.1","ENSG00000287628",NA,NA,1.32065455866947,5.89079090874399e-05,0.000147813937182228
"ENSG00000224995.1","ENSG00000224995","101928770","LINC01526",-1.32064843946053,7.18498799279092e-11,3.55955096844432e-10
"ENSG00000242082.2","ENSG00000242082","110806273","SLC5A4-AS1",1.32055896442541,5.83045800110617e-09,2.37247344449055e-08
"ENSG00000277782.1","ENSG00000277782",NA,NA,-1.32050430998395,1.40696753820053e-46,6.93508527340664e-45
"ENSG00000266916.7","ENSG00000266916","101927720","ZNF793-AS1",1.32036857370582,2.97197494732871e-13,1.81837613618359e-12
"ENSG00000271320.1","ENSG00000271320",NA,NA,1.3202540067147,1.07347258049863e-10,5.22491608053862e-10
"ENSG00000143845.15","ENSG00000143845","55224","ETNK2",1.32024236974508,2.11693818800546e-17,1.78592233403099e-16
"ENSG00000183111.12","ENSG00000183111","389337","ARHGEF37",-1.32023227435095,2.15475878824508e-20,2.27995931696873e-19
"ENSG00000148516.22","ENSG00000148516","6935","ZEB1",-1.32022985290361,9.33552177638002e-31,1.95111960365896e-29
"ENSG00000226450.2","ENSG00000226450","1568","CYP2D8P",1.32008370633895,2.00316648444208e-11,1.04280183346374e-10
"ENSG00000211659.2","ENSG00000211659","28793","IGLV3-25",1.32004114688408,2.03046163157227e-23,2.67812150677823e-22
"ENSG00000203668.3","ENSG00000203668","1122","CHML",1.31985286184266,3.85168363318663e-20,3.98512993642133e-19
"ENSG00000213424.9","ENSG00000213424","125113","KRT222",-1.31968792452154,4.91838455103656e-11,2.4783438073676e-10
"ENSG00000239367.2","ENSG00000239367","106479397","RN7SL477P",1.31965149290308,1.80671332023728e-05,4.8714632234474e-05
"ENSG00000276925.1","ENSG00000276925","127379741","SPMIP3P1",1.31954301935555,1.05066356914266e-05,2.91515780878626e-05
"ENSG00000273449.1","ENSG00000273449",NA,NA,1.31952376329281,3.56083493702472e-14,2.34409165444684e-13
"ENSG00000237988.5","ENSG00000237988","442197","OR2I1",1.31946019811965,4.64606641547817e-09,1.91163278541185e-08
"ENSG00000166569.8","ENSG00000166569","339302","CPLX4",1.31940673950939,0.000427782396535624,0.000940341030897494
"ENSG00000264349.1","ENSG00000264349","100423020","MIR4258",1.31935650389713,1.33287519077018e-11,7.0609711078248e-11
"ENSG00000264057.1","ENSG00000264057",NA,NA,1.31925684799143,1.91592649204368e-11,9.99046467127826e-11
"ENSG00000177732.8","ENSG00000177732","6666","SOX12",1.31905950742175,2.04330191820103e-29,3.95227565474256e-28
"ENSG00000227627.3","ENSG00000227627",NA,NA,1.31905383984392,7.08221155865663e-10,3.17743443308148e-09
"ENSG00000243710.8","ENSG00000243710","149465","CFAP57",-1.31904906976092,2.47100115369978e-09,1.04896796605047e-08
"ENSG00000228510.2","ENSG00000228510",NA,NA,1.31900772217397,6.46994110780088e-06,1.84496780068979e-05
"ENSG00000178814.17","ENSG00000178814","26873","OPLAH",1.31889979503423,3.37609480001153e-22,4.10152043150667e-21
"ENSG00000226763.5","ENSG00000226763","100170229","SRRM5",1.31881922067313,9.35721196762015e-22,1.0943522575514e-20
"ENSG00000205056.8","ENSG00000205056",NA,NA,1.3186044551031,2.2234341873e-07,7.57429240984403e-07
"ENSG00000197903.8","ENSG00000197903","85236","H2BC12",1.31854869486546,2.11680001923769e-20,2.24141684875544e-19
"ENSG00000269915.1","ENSG00000269915",NA,NA,1.31846346251954,2.79868678094111e-08,1.05996365702414e-07
